Unit;ADR13;ADR16;Ocurrences;Class DeF
org.apache.hadoop.hbase.util.CollectionUtils;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ConcatenatedLists;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.ConcatenatedLists$Iterator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ConcurrentIndex;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ConcurrentIndex$DefaultValueSetFactory;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.CoprocessorClassLoader;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Counter;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Counter$Cell;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Counter$Container;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Counter$IndexHolder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.DefaultEnvironmentEdge;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.DrainBarrier;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.DynamicClassLoader;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.EnvironmentEdgeManager;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ExceptionUtil;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.HasThread;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Hash;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.IncrementingEnvironmentEdge;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.IterableUtils;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.JVM;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.JenkinsHash;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.KeyLocker;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.KeyLocker$KeyLock;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.MD5Hash;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Methods;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.MurmurHash;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.MurmurHash3;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.OrderedBytes;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Pair;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.PairOfSameType;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.PrettyPrinter;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ReadOnlyByteRangeException;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.ReflectionUtils;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.RetryCounter;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.RetryCounter$BackoffPolicy;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.RetryCounter$ExponentialBackoffPolicy;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.RetryCounter$ExponentialBackoffPolicyWithLimit;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.RetryCounter$RetryConfig;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.RetryCounterFactory;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.SimpleByteRange;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.SimpleMutableByteRange;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.SimplePositionedByteRange;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.SimplePositionedMutableByteRange;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Sleeper;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Strings;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.Threads;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.Triple;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.VersionInfo;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.util.test.LoadTestKVGenerator;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.util.test.RedundantKVGenerator;1.0;0.0;1.0;0.5
Ocurrences;196.0;150.0
Rule DeF;1.0;0.7653061224489796
