Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.hadoop.hbase.io.encoding.EncodedDataBlock;230.0;0.0;45.0;1.0;45.0;25.0;24.0;0.7916666666666666;0.9047619047619048;6.0;0.0;8.0;6.0;64.0;1.0;49.0;33.0;61.0;5.0;41.0;6.0;3.0;17.0;2.0;2.0;8.0;2.0;1.0;1.0;3.0;2.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0
org.apache.hadoop.hbase.util.Triple;67.0;0.0;12.0;1.0;12.0;21.0;21.0;0.5;0.5555555555555556;3.0;0.0;10.0;10.0;7.0;1.0;11.0;31.0;15.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.crypto.Encryption$Context;28.0;0.0;15.0;2.0;7.0;3.0;3.0;1.0;1.5;1.0;1.0;3.0;3.0;7.0;6.0;12.0;6.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayEntryIterator;28.0;0.0;19.0;1.0;4.0;3.0;2.0;0.33333333333333337;0.5;2.0;0.0;3.0;3.0;2.0;3.0;16.0;6.0;5.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.TagType;8.0;0.0;10.0;1.0;0.0;0.0;0.0;1.0;0.0;5.0;5.0;0.0;0.0;1.0;2.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.crypto.Context;66.0;1.0;23.0;1.0;17.0;10.0;30.0;0.675;0.75;4.0;0.0;10.0;10.0;12.0;8.0;20.0;20.0;11.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.Bytes$RowEndKeyComparator;17.0;0.0;13.0;2.0;3.0;10.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;3.0;2.0;10.0;12.0;11.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.ArrayUtils;101.0;0.0;15.0;1.0;19.0;41.0;0.0;1.0;0.0;0.0;0.0;13.0;13.0;7.0;0.0;0.0;54.0;9.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.ClassSize;294.0;0.0;22.0;1.0;22.0;43.0;14.0;0.9615384615384616;1.1538461538461537;26.0;23.0;6.0;4.0;72.0;27.0;34.0;54.0;48.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec;153.0;0.0;32.0;2.0;4.0;3.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;39.0;4.0;33.0;13.0;5.0;1.0;4.0;2.0;7.0;8.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.DrainBarrier;102.0;0.0;14.0;1.0;18.0;17.0;29.0;0.7037037037037037;0.7916666666666667;3.0;0.0;9.0;4.0;21.0;0.0;0.0;26.0;13.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.RetryCounter$RetryConfig;69.0;0.0;8.0;1.0;10.0;10.0;40.0;0.8333333333333334;0.925925925925926;6.0;0.0;10.0;10.0;2.0;6.0;12.0;20.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayHolder;88.0;0.0;14.0;1.0;9.0;11.0;0.0;0.24;0.30000000000000004;5.0;0.0;5.0;0.0;11.0;8.0;10.0;16.0;25.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.ByteBufferArray;166.0;0.0;23.0;1.0;15.0;15.0;15.0;0.8541666666666666;1.025;8.0;0.0;6.0;4.0;28.0;2.0;41.0;25.0;39.0;5.0;14.0;0.0;1.0;8.0;1.0;0.0;6.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
