Unit;ADR06;ADR08;ADR13;ADR15;Ocurrences;Class DeF
org.apache.hadoop.hbase.security.UserProvider;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.FixedLengthWrapper;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedBlob;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedBlobVar;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedBytesBase;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedFloat32;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedFloat64;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedInt16;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedInt32;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedInt64;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedInt8;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedNumeric;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.OrderedString;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.PBType;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawByte;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawBytes;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawBytesFixedLength;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawBytesTerminated;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawDouble;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawFloat;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawInteger;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawLong;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawShort;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawString;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawStringFixedLength;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.RawStringTerminated;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.Struct;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.StructBuilder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.StructIterator;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.TerminatedWrapper;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.Union2;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.Union3;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.types.Union4;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.AbstractByteRange;0.0;0.0;1.0;1.0;2.0;0.5
